customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_score_numeric,cluster,segment
CUST00001,19,1,331.56,4,1,1,411,6,0,New Customers
CUST00002,24,26,10807.06,3,5,4,354,12,1,Loyal Customers
CUST00003,20,15,20396.23,4,4,5,445,13,1,Loyal Customers
CUST00004,17,17,12912.4,4,4,4,444,12,4,Potential Loyalists
CUST00005,80,5,2824.34,2,2,3,223,7,5,Hibernating
CUST00006,83,2,137.69,2,1,1,211,4,5,Hibernating
CUST00007,151,12,4976.87,1,3,3,133,7,2,Hibernating
CUST00008,20,34,27223.99,4,5,5,455,14,6,Champions
CUST00009,41,20,6749.820000000001,2,4,3,243,9,4,Potential Loyalists
CUST00010,4,24,15893.22,5,5,4,554,14,1,Loyal Customers
CUST00011,13,23,27485.71,4,5,5,455,14,1,Loyal Customers
CUST00012,27,9,4588.66,3,3,3,333,9,0,New Customers
CUST00013,7,37,25714.24,5,5,5,555,15,6,Champions
CUST00014,23,30,18409.71,3,5,5,355,13,6,Champions
CUST00015,6,2,1118.82,5,1,2,512,8,0,New Customers
CUST00016,16,10,6857.75,4,3,3,433,10,4,Potential Loyalists
CUST00017,14,29,16008.35,4,5,4,454,13,1,Loyal Customers
CUST00018,25,1,46.6,3,1,1,311,5,0,New Customers
CUST00019,103,3,858.05,1,1,1,111,3,5,Hibernating
CUST00020,10,29,36036.159999999996,5,5,5,555,15,3,Champions
CUST00021,112,6,693.4200000000001,1,2,1,121,4,5,Hibernating
CUST00022,76,5,1798.3700000000001,2,2,2,222,6,5,Hibernating
CUST00023,14,18,8961.92,4,4,4,444,12,4,Potential Loyalists
CUST00024,24,18,24667.9,3,4,5,345,12,1,Loyal Customers
CUST00025,316,1,12.89,1,1,1,111,3,7,Hibernating
CUST00026,39,16,19317.949999999997,2,4,5,245,11,1,Loyal Customers
CUST00027,24,31,24506.63,3,5,5,355,13,6,Champions
CUST00028,4,35,23743.22,5,5,5,555,15,6,Champions
CUST00029,98,7,1088.33,1,2,2,122,5,5,Hibernating
CUST00030,18,2,155.06,4,1,1,411,6,0,New Customers
CUST00031,63,5,492.15999999999997,2,2,1,221,5,0,New Customers
CUST00032,70,2,250.22,2,1,1,211,4,5,Hibernating
